Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Abhishek Sharma,3,3,2,63,46*,63,33,190.9,0,0,0,3,5
(Delhi Daredevils),,,,,,,,,,,,,
AD Nath,1,1,0,9,9,9,13,69.23,0,0,0,1,0
(Kings XI Punjab),,,,,,,,,,,,,
MA Agarwal,11,11,1,120,30,12,94,127.65,0,0,1,9,5
(Kings XI Punjab),,,,,,,,,,,,,
KK Ahmed,1,-,-,-,-,-,-,-,-,-,-,-,-
(Sunrisers Hyderabad),,,,,,,,,,,,,
MM Ali,5,4,0,77,65,19.25,46,167.39,0,1,0,4,6
(Royal Challengers Bangalore),,,,,,,,,,,,,
CJ Anderson,3,3,0,17,15,5.66,22,77.27,0,0,1,0,1
(Royal Challengers Bangalore),,,,,,,,,,,,,
Ankit Sharma,1,-,-,-,-,-,-,-,-,-,-,-,-
(Rajasthan Royals),,,,,,,,,,,,,
Anureet Singh,3,1,1,3,3*,-,4,75,0,0,0,0,0
(Rajasthan Royals),,,,,,,,,,,,,
JC Archer,10,8,3,15,8,3,21,71.42,0,0,3,2,0
(Rajasthan Royals),,,,,,,,,,,,,
M Ashwin,2,1,0,1,1,1,2,50,0,0,0,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,
R Ashwin,14,9,1,102,45,12.75,71,143.66,0,0,3,7,5
(Kings XI Punjab),,,,,,,,,,,,,
KM Asif,2,-,-,-,-,-,-,-,-,-,-,-,-
(Chennai Super Kings),,,,,,,,,,,,,
Avesh Khan,6,-,-,-,-,-,-,-,-,-,-,-,-
(Delhi Daredevils),,,,,,,,,,,,,
Basil Thampi,4,2,1,3,3,3,6,50,0,0,0,0,0
(Sunrisers Hyderabad),,,,,,,,,,,,,
RK Bhui,1,1,0,0,0,0,5,0,0,0,1,0,0
(Sunrisers Hyderabad),,,,,,,,,,,,,
SW Billings,10,8,0,108,56,13.5,78,138.46,0,1,1,8,5
(Chennai Super Kings),,,,,,,,,,,,,
STR Binny,7,5,0,44,22,8.8,39,112.82,0,0,1,2,2
(Rajasthan Royals),,,,,,,,,,,,,
TA Boult,14,1,0,0,0,0,2,0,0,0,1,0,0
(Delhi Daredevils),,,,,,,,,,,,,
CR Brathwaite,4,4,1,75,43*,25,48,156.25,0,0,0,1,8
(Sunrisers Hyderabad),,,,,,,,,,,,,
DJ Bravo,16,10,6,141,68,35.25,91,154.94,0,1,1,8,10
(Chennai Super Kings),,,,,,,,,,,,,
JJ Bumrah,14,3,2,10,6*,10,11,90.9,0,0,1,1,0
(Mumbai Indians),,,,,,,,,,,,,
JC Buttler,13,13,3,548,95*,54.8,353,155.24,0,5,0,52,21
(Rajasthan Royals),,,,,,,,,,,,,
YS Chahal,14,1,1,0,0*,-,4,0,0,0,0,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,
DL Chahar,12,4,1,50,39,16.66,29,172.41,0,0,1,1,4
(Chennai Super Kings),,,,,,,,,,,,,
PP Chawla,15,7,3,27,12,6.75,34,79.41,0,0,1,1,1
(Kolkata Knight Riders),,,,,,,,,,,,,
P Chopra,1,1,0,8,8,8,6,133.33,0,0,0,2,0
(Rajasthan Royals),,,,,,,,,,,,,
DT Christian,4,3,1,26,13,13,33,78.78,0,0,0,0,1
(Delhi Daredevils),,,,,,,,,,,,,
TK Curran,5,4,1,23,18,7.66,28,82.14,0,0,0,3,0
(Kolkata Knight Riders),,,,,,,,,,,,,
BCJ Cutting,9,6,2,96,37,24,58,165.51,0,0,0,5,8
(Mumbai Indians),,,,,,,,,,,,,
CJ Dala,1,-,-,-,-,-,-,-,-,-,-,-,-
(Delhi Daredevils),,,,,,,,,,,,,
A Dananjaya,1,1,1,4,4*,-,5,80,0,0,0,0,0
(Mumbai Indians),,,,,,,,,,,,,
C de Grandhomme,9,8,3,131,40,26.2,84,155.95,0,0,0,4,10
(Royal Challengers Bangalore),,,,,,,,,,,,,
Q de Kock,8,8,0,201,53,25.12,162,124.07,0,1,0,20,8
(Royal Challengers Bangalore),,,,,,,,,,,,,
AB de Villiers,12,11,2,480,90*,53.33,275,174.54,0,6,0,39,30
(Royal Challengers Bangalore),,,,,,,,,,,,,
S Dhawan,16,16,3,497,92*,38.23,363,136.91,0,4,1,59,14
(Sunrisers Hyderabad),,,,,,,,,,,,,
MS Dhoni,16,15,9,455,79*,75.83,302,150.66,0,3,0,24,30
(Chennai Super Kings),,,,,,,,,,,,,
JP Duminy,6,4,3,36,23,36,40,90,0,0,0,3,1
(Mumbai Indians),,,,,,,,,,,,,
F du Plessis,6,6,1,162,67*,32.4,129,125.58,0,1,0,17,6
(Chennai Super Kings),,,,,,,,,,,,,
AJ Finch,10,9,1,134,46,16.75,100,134,0,0,2,6,8
(Kings XI Punjab),,,,,,,,,,,,,
G Gambhir,6,5,0,85,55,17,88,96.59,0,1,0,8,1
(Delhi Daredevils),,,,,,,,,,,,,
CH Gayle,11,11,2,368,104*,40.88,252,146.03,1,3,1,30,27
(Kings XI Punjab),,,,,,,,,,,,,
S Gopal,11,4,1,50,24,16.66,45,111.11,0,0,1,5,0
(Rajasthan Royals),,,,,,,,,,,,,
SP Goswami,6,3,0,52,35,17.33,40,130,0,0,0,6,1
(Sunrisers Hyderabad),,,,,,,,,,,,,
K Gowtham,15,13,4,126,33*,14,64,196.87,0,0,1,9,9
(Rajasthan Royals),,,,,,,,,,,,,
AD Hales,6,6,0,148,45,24.66,118,125.42,0,0,0,13,6
(Sunrisers Hyderabad),,,,,,,,,,,,,
Harbhajan Singh,13,3,0,29,19,9.66,36,80.55,0,0,0,3,1
(Chennai Super Kings),,,,,,,,,,,,,
DJ Hooda,9,8,4,87,32*,21.75,81,107.4,0,0,0,2,3
(Sunrisers Hyderabad),,,,,,,,,,,,,
Imran Tahir,6,1,1,2,2*,-,2,100,0,0,0,0,0
(Chennai Super Kings),,,,,,,,,,,,,
Ishan Kishan,14,12,0,275,62,22.91,184,149.45,0,2,3,22,17
(Mumbai Indians),,,,,,,,,,,,,
SS Iyer,14,14,3,411,93*,37.36,310,132.58,0,4,0,29,21
(Delhi Daredevils),,,,,,,,,,,,,
RA Jadeja,16,10,5,89,27*,17.8,74,120.27,0,0,0,3,4
(Chennai Super Kings),,,,,,,,,,,,,
KM Jadhav,1,1,1,24,24*,-,22,109.09,0,0,0,1,2
(Chennai Super Kings),,,,,,,,,,,,,
MG Johnson,6,2,2,16,12*,-,11,145.45,0,0,0,2,0
(Kolkata Knight Riders),,,,,,,,,,,,,
CJ Jordan,1,-,-,-,-,-,-,-,-,-,-,-,-
(Sunrisers Hyderabad),,,,,,,,,,,,,
KD Karthik,16,16,6,498,52,49.8,337,147.77,0,2,0,49,16
(Kolkata Knight Riders),,,,,,,,,,,,,
S Kaul,17,4,1,3,2,1,14,21.42,0,0,1,0,0
(Sunrisers Hyderabad),,,,,,,,,,,,,
SN Khan,7,6,1,51,22*,10.2,41,124.39,0,0,1,7,1
(Royal Challengers Bangalore),,,,,,,,,,,,,
K Khejroliya,3,-,-,-,-,-,-,-,-,-,-,-,-
(Royal Challengers Bangalore),,,,,,,,,,,,,
H Klaasen,4,4,1,57,32,19,47,121.27,0,0,1,5,1
(Rajasthan Royals),,,,,,,,,,,,,
V Kohli,14,14,3,530,92*,48.18,381,139.1,0,4,0,52,18
(Royal Challengers Bangalore),,,,,,,,,,,,,
Kuldeep Yadav,16,3,2,12,7*,12,24,50,0,0,0,1,0
(Kolkata Knight Riders),,,,,,,,,,,,,
DS Kulkarni,8,2,1,6,3*,6,7,85.71,0,0,0,0,0
(Rajasthan Royals),,,,,,,,,,,,,
B Kumar,12,4,2,13,7,6.5,16,81.25,0,0,1,1,0
(Sunrisers Hyderabad),,,,,,,,,,,,,
S Lamichhane,3,-,-,-,-,-,-,-,-,-,-,-,-
(Delhi Daredevils),,,,,,,,,,,,,
B Laughlin,7,2,1,1,1*,1,4,25,0,0,1,0,0
(Rajasthan Royals),,,,,,,,,,,,,
E Lewis,13,13,0,382,65,29.38,276,138.4,0,2,2,32,24
(Mumbai Indians),,,,,,,,,,,,,
MK Lomror,2,2,1,20,11,20,21,95.23,0,0,0,1,0
(Rajasthan Royals),,,,,,,,,,,,,
CA Lynn,16,16,1,491,74,32.73,377,130.23,0,3,1,56,18
(Kolkata Knight Riders),,,,,,,,,,,,,
MJ McClenaghan,11,5,3,11,11*,5.5,10,110,0,0,2,1,1
(Mumbai Indians),,,,,,,,,,,,,
BB McCullum,6,6,0,127,43,21.16,88,144.31,0,0,1,16,6
(Royal Challengers Bangalore),,,,,,,,,,,,,
Mandeep Singh,14,13,3,252,47*,25.2,186,135.48,0,0,0,16,11
(Royal Challengers Bangalore),,,,,,,,,,,,,
M Markande,14,6,4,21,7*,10.5,24,87.5,0,0,0,2,0
(Mumbai Indians),,,,,,,,,,,,,
GJ Maxwell,12,12,0,169,47,14.08,120,140.83,0,0,0,14,9
(Delhi Daredevils),,,,,,,,,,,,,
DA Miller,3,3,1,74,26,37,64,115.62,0,0,0,3,2
(Kings XI Punjab),,,,,,,,,,,,,
A Mishra,10,1,1,1,1*,-,2,50,0,0,0,0,0
(Delhi Daredevils),,,,,,,,,,,,,
Mohammad Nabi,2,2,0,18,14,9,12,150,0,0,0,3,0
(Sunrisers Hyderabad),,,,,,,,,,,,,
Mohammed Shami,4,1,0,7,7,7,6,116.66,0,0,0,1,0
(Delhi Daredevils),,,,,,,,,,,,,
Mohammed Siraj,11,4,2,25,14,12.5,22,113.63,0,0,0,2,1
(Royal Challengers Bangalore),,,,,,,,,,,,,
CH Morris,4,4,3,46,27*,46,26,176.92,0,0,0,3,2
(Delhi Daredevils),,,,,,,,,,,,,
Mujeeb Ur Rahman,11,2,1,10,10*,10,7,142.85,0,0,1,2,0
(Kings XI Punjab),,,,,,,,,,,,,
C Munro,5,5,0,63,33,12.6,41,153.65,0,0,2,7,4
(Delhi Daredevils),,,,,,,,,,,,,
Mustafizur Rahman,7,2,1,1,1,1,3,33.33,0,0,0,0,0
(Mumbai Indians),,,,,,,,,,,,,
S Nadeem,6,1,1,6,6*,-,8,75,0,0,0,0,0
(Delhi Daredevils),,,,,,,,,,,,,
KK Nair,13,12,0,301,54,25.08,221,136.19,0,2,0,23,13
(Kings XI Punjab),,,,,,,,,,,,,
SP Narine,16,16,0,357,75,22.31,188,189.89,0,2,0,40,23
(Kolkata Knight Riders),,,,,,,,,,,,,
P Negi,2,2,0,3,3,1.5,5,60,0,0,1,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,
L Ngidi,7,-,-,-,-,-,-,-,-,-,-,-,-
(Chennai Super Kings),,,,,,,,,,,,,
NV Ojha,1,1,0,1,1,1,4,25,0,0,0,0,0
(Delhi Daredevils),,,,,,,,,,,,,
MK Pandey,15,13,2,284,62*,25.81,246,115.44,0,3,1,22,5
(Sunrisers Hyderabad),,,,,,,,,,,,,
HH Pandya,13,13,4,260,50,28.88,195,133.33,0,1,0,20,11
(Mumbai Indians),,,,,,,,,,,,,
KH Pandya,14,13,3,228,41*,22.8,157,145.22,0,0,0,22,10
(Mumbai Indians),,,,,,,,,,,,,
RR Pant,14,14,1,684,128*,52.61,394,173.6,1,5,1,68,37
(Delhi Daredevils),,,,,,,,,,,,,
AR Patel,9,8,2,80,19,13.33,69,115.94,0,0,0,3,4
(Kings XI Punjab),,,,,,,,,,,,,
HV Patel,5,2,1,60,36*,60,33,181.81,0,0,0,1,6
(Delhi Daredevils),,,,,,,,,,,,,
PA Patel,6,6,1,153,53,30.6,109,140.36,0,1,0,20,4
(Royal Challengers Bangalore),,,,,,,,,,,,,
YK Pathan,15,13,4,260,45*,28.88,200,130,0,0,0,22,11
(Sunrisers Hyderabad),,,,,,,,,,,,,
LE Plunkett,7,2,1,1,1*,1,3,33.33,0,0,1,0,0
(Delhi Daredevils),,,,,,,,,,,,,
KA Pollard,9,8,1,133,50,19,100,133,0,1,1,10,7
(Mumbai Indians),,,,,,,,,,,,,
M Prasidh Krishna,7,2,2,1,1*,-,5,20,0,0,0,0,0
(Kolkata Knight Riders),,,,,,,,,,,,,
AM Rahane,15,14,1,370,65*,28.46,313,118.21,0,1,0,39,5
(Rajasthan Royals),,,,,,,,,,,,,
KL Rahul,14,14,2,659,95*,54.91,416,158.41,0,6,0,66,32
(Kings XI Punjab),,,,,,,,,,,,,
SK Raina,15,15,3,445,75*,37.08,336,132.44,0,4,0,46,12
(Chennai Super Kings),,,,,,,,,,,,,
AS Rajpoot,8,3,0,11,8,3.66,18,61.11,0,0,0,1,0
(Kings XI Punjab),,,,,,,,,,,,,
N Rana,15,15,2,304,59,23.38,232,131.03,0,1,0,26,14
(Kolkata Knight Riders),,,,,,,,,,,,,
Rashid Khan,17,7,2,59,34*,11.8,31,190.32,0,0,2,3,6
(Sunrisers Hyderabad),,,,,,,,,,,,,
AT Rayudu,16,16,2,602,100*,43,402,149.75,1,3,1,53,34
(Chennai Super Kings),,,,,,,,,,,,,
JJ Roy,5,5,1,120,91*,30,94,127.65,0,1,0,9,7
(Delhi Daredevils),,,,,,,,,,,,,
AD Russell,16,14,3,316,88*,28.72,171,184.79,0,1,1,17,31
(Kolkata Knight Riders),,,,,,,,,,,,,
WP Saha,11,10,2,122,35,15.25,102,119.6,0,0,1,17,1
(Sunrisers Hyderabad),,,,,,,,,,,,,
SV Samson,15,15,1,441,92*,31.5,320,137.81,0,3,1,30,19
(Rajasthan Royals),,,,,,,,,,,,,
Sandeep Sharma,12,3,1,0,0*,0,4,0,0,0,2,0,0
(Sunrisers Hyderabad),,,,,,,,,,,,,
PJ Sangwan,1,1,0,0,0,0,4,0,0,0,1,0,0
(Mumbai Indians),,,,,,,,,,,,,
JPR Scantlebury-Searles,4,2,1,8,6*,8,6,133.33,0,0,0,0,1
(Kolkata Knight Riders),,,,,,,,,,,,,
V Shankar,13,11,7,212,54*,53,148,143.24,0,1,0,11,11
(Delhi Daredevils),,,,,,,,,,,,,
Shakib Al Hasan,17,13,2,239,35,21.72,197,121.31,0,0,0,26,5
(Sunrisers Hyderabad),,,,,,,,,,,,,
KV Sharma,6,1,1,0,0*,-,0,-,0,0,0,0,0
(Chennai Super Kings),,,,,,,,,,,,,
MM Sharma,9,4,3,10,4*,10,13,76.92,0,0,0,1,0
(Kings XI Punjab),,,,,,,,,,,,,
RG Sharma,14,14,2,286,94,23.83,215,133.02,0,2,3,25,12
(Mumbai Indians),,,,,,,,,,,,,
PP Shaw,9,9,0,245,65,27.22,160,153.12,0,2,0,27,10
(Delhi Daredevils),,,,,,,,,,,,,
Shivam Mavi,9,4,1,13,7,4.33,15,86.66,0,0,1,1,0
(Kolkata Knight Riders),,,,,,,,,,,,,
DR Shorey,1,1,0,8,8,8,9,88.88,0,0,0,0,1
(Chennai Super Kings),,,,,,,,,,,,,
DJM Short,7,7,0,115,44,16.42,99,116.16,0,0,0,11,5
(Rajasthan Royals),,,,,,,,,,,,,
Shubman Gill,13,11,5,203,57*,33.83,139,146.04,0,1,0,22,5
(Kolkata Knight Riders),,,,,,,,,,,,,
RK Singh,4,4,0,29,16,7.25,31,93.54,0,0,0,4,0
(Kolkata Knight Riders),,,,,,,,,,,,,
IS Sodhi,6,1,0,1,1,1,6,16.66,0,0,0,0,0
(Rajasthan Royals),,,,,,,,,,,,,
TG Southee,8,4,2,52,36*,26,46,113.04,0,0,0,5,1
(Royal Challengers Bangalore),,,,,,,,,,,,,
BB Sran,6,4,3,3,2,3,7,42.85,0,0,0,0,0
(Kings XI Punjab),,,,,,,,,,,,,
B Stanlake,4,1,1,5,5*,-,2,250,0,0,0,1,0
(Sunrisers Hyderabad),,,,,,,,,,,,,
MP Stoinis,7,7,3,99,29*,24.75,76,130.26,0,0,0,6,4
(Kings XI Punjab),,,,,,,,,,,,,
BA Stokes,13,13,1,196,45,16.33,161,121.73,0,0,1,13,6
(Rajasthan Royals),,,,,,,,,,,,,
R Tewatia,8,5,2,50,24,16.66,43,116.27,0,0,0,5,1
(Delhi Daredevils),,,,,,,,,,,,,
SN Thakur,13,1,1,15,15*,-,5,300,0,0,0,3,0
(Chennai Super Kings),,,,,,,,,,,,,
MK Tiwary,5,4,1,47,35,15.66,44,106.81,0,0,0,4,1
(Kings XI Punjab),,,,,,,,,,,,,
RA Tripathi,12,12,3,226,80*,25.11,167,135.32,0,1,0,18,8
(Rajasthan Royals),,,,,,,,,,,,,
AJ Tye,14,8,2,32,14,5.33,38,84.21,0,0,2,2,1
(Kings XI Punjab),,,,,,,,,,,,,
JD Unadkat,15,7,3,49,26,12.25,38,128.94,0,0,1,6,1
(Rajasthan Royals),,,,,,,,,,,,,
RV Uthappa,16,16,0,351,54,21.93,265,132.45,0,1,0,30,21
(Kolkata Knight Riders),,,,,,,,,,,,,
M Vijay,1,1,0,12,12,12,10,120,0,0,0,0,1
(Chennai Super Kings),,,,,,,,,,,,,
R Vinay Kumar,2,1,1,6,6*,-,3,200,0,0,0,1,0
(Kolkata Knight Riders),,,,,,,,,,,,,
M Vohra,4,4,0,55,45,13.75,47,117.02,0,0,1,2,4
(Royal Challengers Bangalore),,,,,,,,,,,,,
Washington Sundar,7,6,3,65,35,21.66,38,171.05,0,0,0,5,4
(Royal Challengers Bangalore),,,,,,,,,,,,,
SR Watson,15,15,1,555,117*,39.64,359,154.59,2,2,1,44,35
(Chennai Super Kings),,,,,,,,,,,,,
DJ Willey,3,-,-,-,-,-,-,-,-,-,-,-,-
(Chennai Super Kings),,,,,,,,,,,,,
KS Williamson,17,17,3,735,84,52.5,516,142.44,0,8,1,63,28
(Sunrisers Hyderabad),,,,,,,,,,,,,
CR Woakes,5,4,2,17,11,8.5,19,89.47,0,0,0,1,1
(Royal Challengers Bangalore),,,,,,,,,,,,,
MA Wood,1,1,0,1,1,1,3,33.33,0,0,0,0,0
(Chennai Super Kings),,,,,,,,,,,,,
SA Yadav,14,14,0,512,72,36.57,384,133.33,0,4,1,61,16
(Mumbai Indians),,,,,,,,,,,,,
UT Yadav,14,5,1,3,1*,0.75,11,27.27,0,0,2,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,
Yuvraj Singh,8,6,0,65,20,10.83,73,89.04,0,0,0,6,2
(Kings XI Punjab),,,,,,,,,,,,,